date,tweet_sentiment,sentiment_weighted,tweets,attention
9/18/2016,,,0,0
9/19/2016,0.099393939,0.602424242,11,24
9/20/2016,0.075,0.075,8,2
9/21/2016,0.033333333,0.033333333,6,0
9/22/2016,0.011111111,0.011111111,9,13
9/23/2016,0,0,4,1
9/24/2016,0,0,1,0
9/25/2016,,,0,0
9/26/2016,0,0,7,1
9/27/2016,0.137310606,0.251893939,6,2
9/28/2016,0.027777778,0.055555556,9,3
9/29/2016,0,0,7,1
9/30/2016,-0.012820513,-0.012820513,13,0
10/1/2016,0,0,1,2
10/2/2016,0.016666667,0.016666667,1,0
10/3/2016,0.2,0.2,3,2
10/4/2016,0,0,2,0
10/5/2016,0,0,1,0
10/6/2016,0,0,2,1
10/7/2016,0.090277778,0.2375,6,4
10/8/2016,0,0,4,3
10/9/2016,-0.025,-0.0375,2,1
10/10/2016,0.01425,0.137875,20,36
10/11/2016,0.069989879,0.452397286,27,33
10/12/2016,0.021536797,0.076406926,14,22
10/13/2016,-0.060232323,0.22779798,30,126
10/14/2016,0.082166667,0.195666667,20,33
10/15/2016,0,0,3,4
10/16/2016,0.068181818,0.136363636,2,1
10/17/2016,0.002280702,-1.72877193,19,93
10/18/2016,-0.021818182,-0.067587413,13,9
10/19/2016,-0.0375,-0.0375,8,9
10/20/2016,0,0,6,24
10/21/2016,0.01937799,0.050956938,19,15
10/22/2016,0.0175,-0.045,4,2
10/23/2016,-0.075,-0.075,4,23
10/24/2016,-0.030136054,-0.07537415,21,13
10/25/2016,0.008319531,0.231507937,23,31
10/26/2016,0.051437166,0.177473262,17,62
10/27/2016,-0.003271605,-0.031975309,27,17
10/28/2016,0,0,6,0
